ID_Tiempo_Costo,ID_Ruta,Tiempo_Transporte (hrs),Costo_Total ($),Fecha_Transporte
TC001,R296,2.16,69,2019-04-27
TC002,R448,3.46,231,2017-05-03
TC003,R022,9.89,393,2019-12-27
TC004,R257,3.48,293,2016/08/24
TC005,R085,5.7,402,2018-06-27
TC006,R312,6.2,395,2024-06-17
TC007,R125,7.77,428,2022-12-20
TC008,R391,8.39,325,2021-08-21
TC009,R137,5.04,144,2019-06-17
TC010,R399,6.03,387,2016/10/14
TC011,R438,9.75,336,2020-11-07
TC012,R230,6.74,71,2018-12-17
TC013,R352,6.77,250,2021-11-15
TC014,R236,7.13,194,2020-01-05
TC015,R121,9.79,151,2024-05-20
TC016,R384,2.7,401,2020-03-13
TC017,R066,9.91,255,2025-01-19
TC018,R240,3.32,208,2023-02-26
TC019,R135,3.49,65,2023-11-06
TC020,R020,1.4,314,2022-09-27
TC021,R180,9.79,332,2022-03-14
TC022,R130,2.51,487,2019-10-02
TC023,R063,1.79,144,2025-01-08
TC024,R053,6.16,354,2017-12-30
TC025,R223,8.85,98,2016/04/19
TC026,R033,9.71,145,2017-11-14
TC027,R019,5.49,155,2019-11-10
TC028,R450,5.6,366,2016/05/19
TC029,R167,2.86,144,2024-12-06
TC030,R313,1.08,228,2019-01-16
TC031,R026,5.87,73,2020-02-02
TC032,R354,5.11,254,2021-02-25
TC033,R296,8.69,481,2017-10-23
TC034,R016,8.3,62,2023-02-27
TC035,R384,1.1,190,2017-02-08
TC036,R109,4.13,459,2017-07-19
TC037,R316,4.86,425,2023-10-17
TC038,R438,5.17,340,2019-08-21
TC039,R487,2.42,193,2016/06/05
TC040,R280,3.8,138,2019-07-17
TC041,R213,8.77,446,2016/12/04
TC042,R317,2.69,134,2017-10-29
TC043,R300,5.57,195,2022-03-24
TC044,R421,2.61,221,2023-06-12
TC045,R014,8.05,163,2020-01-19
TC046,R356,8.66,140,2018-07-30
TC047,R150,1.18,309,2018-06-20
TC048,R061,6.53,221,2020-12-11
TC049,R280,3.58,453,2023-10-01
TC050,R068,9.56,226,2021-06-26
TC051,R224,6.07,425,2019-06-11
TC052,R052,6.79,81,2019-08-11
TC053,R027,3.96,122,2024-07-10
TC054,R047,7.64,472,2021-07-13
TC055,R335,3.54,61,2022-03-18
TC056,R276,5.74,93,2017-09-11
TC057,R096,8.6,451,2016/03/10
TC058,R225,7.21,164,2019-03-27
TC059,R011,7.09,382,2016/01/01
TC060,R139,2.81,384,2024-04-18
TC061,R119,9.39,190,2021-11-07
TC062,R319,7.46,420,2024-04-26
TC063,R117,5.65,387,2018-05-21
TC064,R456,6.82,347,2019-07-26
TC065,R219,1.95,136,2019-04-29
TC066,R248,7.85,309,2016/03/20
TC067,R145,3.83,145,2017-09-07
TC068,R275,5.88,167,2017-11-25
TC069,R387,9.39,453,2022-02-13
TC070,R425,8.91,272,2021-12-06
TC071,R278,9.72,346,2019-12-14
TC072,R066,8.93,353,2019-06-15
TC073,R037,6.02,129,2019-11-07
TC074,R131,8.21,263,2022-01-12
TC075,R165,9.45,363,2016/11/21
TC076,R338,2.11,102,2022-10-16
TC077,R452,9.59,458,2020-09-13
TC078,R372,2.77,359,2019-05-05
TC079,R147,1.92,296,2021-04-15
TC080,R428,1.09,201,2025-01-14
TC081,R415,7.06,160,2023-12-06
TC082,R323,8.46,321,2019-10-17
TC083,R415,7.83,253,2019-12-01
TC084,R069,5.35,209,2019-07-05
TC085,R486,5.64,130,2021-12-20
TC086,R160,5.0,200,2023-10-14
TC087,R212,1.49,408,2024-11-08
TC088,R176,8.87,421,2023-02-15
TC089,R064,4.41,96,2017-10-07
TC090,R488,5.31,163,2023-01-19
TC091,R143,2.08,348,2016/05/19
TC092,R157,1.95,129,2019-01-12
TC093,R319,7.11,312,2024-02-13
TC094,R418,1.91,108,2020-10-06
TC095,R442,8.39,55,2016/11/29
TC096,R030,8.43,344,2017-04-01
TC097,R228,2.99,265,2024-11-09
TC098,R148,6.94,66,2020-04-02
TC099,R074,3.08,416,2021-09-26
TC100,R429,8.41,370,2019-02-20
TC101,R035,4.36,363,2022-11-29
TC102,R043,3.83,195,2023-03-15
TC103,R369,1.73,310,2016/01/03
TC104,R074,5.63,347,2021-08-16
TC105,R469,9.37,59,2022-03-07
TC106,R257,4.82,51,2024-04-10
TC107,R341,5.97,395,2019-03-15
TC108,R126,3.36,139,2023-06-16
TC109,R199,4.95,238,2016/11/13
TC110,R484,6.51,362,2017-04-27
TC111,R499,4.42,424,2019-08-03
TC112,R191,5.3,53,2017-03-23
TC113,R406,5.42,133,2023-10-09
TC114,R022,2.5,194,2018-06-18
TC115,R289,7.21,184,2019-01-05
TC116,R328,7.11,119,2019-11-22
TC117,R447,2.93,286,2023-12-21
TC118,R100,5.47,125,2017-09-26
TC119,R368,1.87,391,2018-06-04
TC120,R204,7.44,412,2024-11-08
TC121,R341,7.98,485,2022-11-03
TC122,R232,6.72,492,2017-03-07
TC123,R196,4.76,365,2022-11-11
TC124,R129,7.06,229,2024-01-30
TC125,R121,7.44,396,2018-06-08
TC126,R449,9.67,147,2018-01-19
TC127,R036,5.07,223,2018-10-17
TC128,R420,7.32,221,2017-12-05
TC129,R069,8.75,482,2021-09-27
TC130,R027,9.12,469,2019-09-23
TC131,R162,9.81,189,2023-09-17
TC132,R164,4.76,374,2021-08-15
TC133,R499,2.26,120,2024-09-12
TC134,R414,3.83,340,2020-08-22
TC135,R241,8.04,145,2016/11/01
TC136,R046,7.05,104,2021-12-12
TC137,R399,9.56,357,2020-04-09
TC138,R290,9.68,203,2024-02-22
TC139,R292,1.92,262,2019-07-23
TC140,R339,1.53,289,2019-05-06
TC141,R085,2.5,438,2022-01-09
TC142,R225,3.53,279,2018-12-07
TC143,R185,4.04,177,2019-09-12
TC144,R049,4.0,488,2017-04-12
TC145,R083,6.02,68,2024-07-12
TC146,R476,4.6,371,2019-06-20
TC147,R498,3.93,449,2020-10-15
TC148,R313,1.48,196,2018-10-23
TC149,R023,5.64,371,2016/07/11
TC150,R001,8.83,183,2017-01-12
TC151,R014,2.35,470,2022-06-14
TC152,R297,6.59,57,2021-03-15
TC153,R377,8.53,335,2017-09-28
TC154,R314,9.79,374,2020-05-31
TC155,R469,3.05,418,2016/11/08
TC156,R350,6.37,69,2016/01/21
TC157,R057,9.67,420,2021-07-04
TC158,R005,8.03,436,2020-01-18
TC159,R314,6.74,276,2020-07-21
TC160,R287,2.32,185,2018-08-30
TC161,R008,9.74,311,2022-02-19
TC162,R186,3.3,109,2022-11-04
TC163,R444,2.24,486,2017-04-02
TC164,R288,7.77,133,2020-03-06
TC165,R204,1.69,498,2019-03-22
TC166,R136,4.05,304,2021-04-03
TC167,R343,3.53,195,2021-03-20
TC168,R307,7.11,97,2018-02-27
TC169,R283,2.84,376,2017-06-07
TC170,R234,2.94,120,2016/09/06
TC171,R453,9.32,435,2016/02/13
TC172,R372,7.13,440,2016/01/18
TC173,R023,7.64,498,2019-07-17
TC174,R225,5.07,339,2020-05-16
TC175,R103,4.48,122,2018-09-02
TC176,R092,4.17,353,2023-04-07
TC177,R372,1.47,162,2019-10-26
TC178,R062,8.59,186,2023-01-14
TC179,R439,5.42,70,2024-07-20
TC180,R206,9.5,150,2023-07-17
TC181,R332,7.92,487,2020-03-29
TC182,R342,9.37,419,2021-11-25
TC183,R321,5.59,321,2019-10-12
TC184,R022,6.65,226,2022-08-14
TC185,R342,6.17,405,2017-08-12
TC186,R275,9.1,312,2022-04-05
TC187,R274,9.65,218,2020-04-29
TC188,R440,7.44,194,2016/12/18
TC189,R039,1.86,336,2018-05-03
TC190,R378,6.23,458,2022-05-13
TC191,R027,5.93,354,2017-08-14
TC192,R327,3.91,176,2016/04/19
TC193,R131,8.65,259,2017-08-22
TC194,R019,3.32,429,2017-08-15
TC195,R293,3.13,436,2023-10-06
TC196,R254,1.69,213,2021-09-24
TC197,R223,3.09,400,2023-06-21
TC198,R461,5.6,131,2024-05-28
TC199,R180,3.38,273,2017-05-08
TC200,R203,7.99,254,2024-06-16
TC201,R090,6.32,468,2020-08-03
TC202,R281,2.17,119,2024-05-26
TC203,R044,4.77,155,2019-11-01
TC204,R066,4.33,102,2022-02-27
TC205,R172,9.72,436,2023-08-25
TC206,R031,1.97,92,2022-10-21
TC207,R097,4.15,480,2024-06-01
TC208,R438,6.25,113,2023-09-06
TC209,R144,8.83,83,2022-06-02
TC210,R172,6.6,311,2018-06-12
TC211,R144,1.03,361,2023-08-15
TC212,R202,4.93,469,2016/07/08
TC213,R481,5.62,243,2018-07-18
TC214,R436,8.24,336,2023-08-03
TC215,R120,3.29,322,2022-02-20
TC216,R298,3.72,89,2023-10-20
TC217,R414,3.37,65,2016/09/13
TC218,R300,7.7,88,2022-11-17
TC219,R001,6.79,398,2018-05-30
TC220,R237,4.96,437,2019-11-23
TC221,R061,1.42,72,2022-05-16
TC222,R292,7.91,138,2022-12-18
TC223,R107,6.9,409,2018-09-06
TC224,R142,9.96,349,2020-10-28
TC225,R280,6.44,88,2022-01-07
TC226,R056,8.29,133,2018-12-03
TC227,R006,1.76,102,2021-04-01
TC228,R151,7.4,450,2017-09-23
TC229,R351,8.43,167,2021-11-22
TC230,R334,4.47,396,2019-03-24
TC231,R183,2.15,474,2023-11-01
TC232,R001,8.78,337,2019-06-08
TC233,R108,6.33,77,2016/03/30
TC234,R016,4.75,77,2022-05-15
TC235,R384,8.24,232,2018-02-07
TC236,R091,2.92,51,2021-04-15
TC237,R237,6.39,218,2018-11-12
TC238,R476,8.06,368,2016/08/15
TC239,R339,7.68,350,2017-10-26
TC240,R462,1.45,355,2024-01-06
TC241,R471,2.22,241,2020-04-24
TC242,R098,6.32,294,2023-10-01
TC243,R195,7.59,309,2018-03-30
TC244,R306,4.75,152,2018-03-30
TC245,R189,1.15,255,2020-12-27
TC246,R254,3.94,333,2020-02-03
TC247,R479,1.27,128,2022-09-03
TC248,R387,6.57,197,2022-05-23
TC249,R069,2.52,372,2021-08-12
TC250,R228,4.94,303,2019-11-12
TC251,R390,9.3,220,2016/09/12
TC252,R048,9.06,255,2021-04-04
TC253,R258,1.79,499,2018-10-04
TC254,R086,3.11,247,2016/05/02
TC255,R061,2.7,475,2018-06-03
TC256,R392,9.44,127,2021-01-02
TC257,R498,8.02,214,2017-04-21
TC258,R230,8.95,282,2024-12-26
TC259,R327,6.97,287,2020-10-24
TC260,R025,8.69,444,2022-12-05
TC261,R207,3.01,59,2016/12/07
TC262,R423,6.41,386,2017-10-07
TC263,R399,5.56,422,2023-02-06
TC264,R348,3.96,477,2016/10/18
TC265,R037,7.65,482,2018-07-15
TC266,R474,3.04,334,2017-06-06
TC267,R306,4.61,192,2017-03-25
TC268,R218,6.93,208,2018-09-11
TC269,R352,1.11,141,2023-10-12
TC270,R198,6.71,394,2024-03-16
TC271,R171,2.55,484,2023-08-21
TC272,R094,7.79,328,2018-12-11
TC273,R369,2.05,372,2017-06-01
TC274,R366,3.57,307,2023-06-19
TC275,R199,5.59,247,2024-09-30
TC276,R495,5.47,116,2021-02-03
TC277,R470,5.81,372,2022-04-03
TC278,R482,7.11,350,2016/03/21
TC279,R429,7.86,198,2020-10-24
TC280,R026,9.62,299,2022-09-24
TC281,R301,4.45,306,2019-11-30
TC282,R351,1.59,220,2018-03-26
TC283,R176,3.77,83,2022-03-04
TC284,R134,4.49,153,2024-06-05
TC285,R398,6.65,184,2022-12-22
TC286,R370,2.3,497,2023-04-30
TC287,R144,4.69,402,2018-03-19
TC288,R435,4.42,344,2017-10-20
TC289,R210,1.08,217,2016/08/24
TC290,R218,2.5,289,2019-08-21
TC291,R265,2.0,277,2018-02-05
TC292,R378,7.37,174,2016/03/14
TC293,R415,2.47,100,2017-04-10
TC294,R423,7.6,450,2023-10-21
TC295,R301,3.8,441,2017-02-19
TC296,R265,9.96,73,2024-10-05
TC297,R371,3.09,395,2023-09-03
TC298,R489,7.5,449,2022-01-31
TC299,R292,5.75,89,2024-09-24
TC300,R374,5.44,257,2018-12-29
TC301,R215,2.84,259,2020-04-09
TC302,R007,6.27,385,2022-08-28
TC303,R222,7.09,467,2022-11-30
TC304,R470,3.63,325,2023-12-10
TC305,R393,6.3,166,2019-06-15
TC306,R500,5.73,225,2023-11-07
TC307,R444,1.64,492,2023-05-26
TC308,R143,4.34,231,2022-08-18
TC309,R029,5.24,212,2016/02/04
TC310,R141,5.66,378,2017-10-25
TC311,R129,9.79,244,2020-09-20
TC312,R303,9.97,196,2020-11-20
TC313,R248,1.68,350,2016/05/28
TC314,R179,8.45,431,2017-06-15
TC315,R394,3.63,472,2024-10-23
TC316,R059,7.63,245,2016/03/27
TC317,R026,2.47,471,2019-01-07
TC318,R277,4.38,238,2020-11-10
TC319,R448,2.08,69,2018-12-10
TC320,R178,4.32,297,2019-01-10
TC321,R424,9.08,329,2016/04/17
TC322,R341,8.03,172,2017-06-04
TC323,R353,6.05,131,2022-10-31
TC324,R232,2.96,180,2019-06-12
TC325,R395,3.39,105,2016/05/04
TC326,R294,7.42,220,2017-10-06
TC327,R102,2.69,321,2024-10-14
TC328,R211,5.76,116,2020-04-04
TC329,R145,6.19,265,2023-10-22
TC330,R040,3.67,252,2018-06-29
TC331,R392,2.99,125,2023-09-14
TC332,R296,8.37,197,2018-09-03
TC333,R134,6.82,78,2016/04/23
TC334,R463,9.25,312,2019-08-23
TC335,R412,8.6,190,2017-02-07
TC336,R102,4.8,266,2018-05-13
TC337,R254,3.27,56,2016/08/17
TC338,R087,5.81,311,2017-05-03
TC339,R388,9.58,131,2023-03-14
TC340,R347,8.72,481,2018-08-28
TC341,R471,3.36,415,2019-05-10
TC342,R116,5.74,447,2021-04-27
TC343,R271,8.03,299,2016/12/06
TC344,R230,6.61,382,2017-08-04
TC345,R242,2.52,462,2022-07-09
TC346,R462,8.83,313,2016/10/14
TC347,R297,7.58,313,2017-11-02
TC348,R491,1.66,334,2022-07-30
TC349,R074,4.65,279,2016/07/26
TC350,R177,1.35,360,2021-07-22
TC351,R121,1.66,308,2023-07-02
TC352,R112,8.15,467,2023-01-13
TC353,R333,9.16,60,2021-07-26
TC354,R480,2.69,487,2019-10-10
TC355,R206,9.84,380,2022-11-28
TC356,R210,7.33,402,2016/09/06
TC357,R237,3.72,119,2021-03-26
TC358,R310,7.45,352,2022-07-25
TC359,R071,6.67,410,2016/11/11
TC360,R099,9.48,344,2016/08/11
TC361,R101,8.47,86,2023-10-09
TC362,R134,2.84,326,2022-02-16
TC363,R172,7.11,142,2024-06-25
TC364,R308,8.84,55,2020-09-17
TC365,R031,8.99,397,2017-12-24
TC366,R138,2.48,483,2019-03-11
TC367,R186,1.1,129,2016/10/08
TC368,R162,5.86,117,2023-11-18
TC369,R460,8.38,365,2017-04-21
TC370,R172,7.76,286,2021-05-15
TC371,R216,1.84,473,2018-05-06
TC372,R280,3.51,195,2021-05-15
TC373,R265,3.84,229,2016/12/29
TC374,R389,5.33,80,2022-01-14
TC375,R055,1.38,288,2018-11-18
TC376,R149,2.79,173,2016/03/20
TC377,R437,6.26,171,2018-01-02
TC378,R376,8.67,467,2019-07-09
TC379,R015,2.1,96,2019-09-06
TC380,R057,2.06,292,2019-11-08
TC381,R378,3.21,63,2019-07-06
TC382,R234,8.38,223,2019-07-27
TC383,R245,3.88,251,2018-02-09
TC384,R401,2.86,370,2022-08-30
TC385,R055,2.67,449,2016/03/10
TC386,R227,1.64,404,2016/07/24
TC387,R021,6.83,450,2018-02-20
TC388,R223,7.9,68,2017-08-19
TC389,R273,4.69,84,2022-03-16
TC390,R467,9.46,344,2017-11-15
TC391,R317,9.46,444,2017-08-07
TC392,R088,8.8,223,2017-07-14
TC393,R476,4.93,440,2023-05-25
TC394,R419,4.03,231,2023-03-15
TC395,R329,7.69,113,2024-09-16
TC396,R292,8.75,364,2020-04-16
TC397,R019,5.45,261,2022-11-26
TC398,R190,5.32,307,2024-11-10
TC399,R144,3.16,71,2016/02/26
TC400,R190,3.54,306,2019-01-31
TC401,R360,4.57,195,2018-06-20
TC402,R081,9.52,376,2017-04-17
TC403,R319,6.44,495,2022-11-20
TC404,R213,3.21,308,2018-11-08
TC405,R375,5.31,106,2023-09-01
TC406,R467,3.14,342,2022-08-15
TC407,R486,2.42,441,2023-03-06
TC408,R270,4.79,389,2024-06-05
TC409,R253,3.97,229,2018-11-08
TC410,R395,4.57,155,2020-06-15
TC411,R443,3.48,417,2016/03/04
TC412,R412,5.8,204,2018-04-14
TC413,R024,3.72,182,2024-05-09
TC414,R281,8.32,379,2018-08-14
TC415,R494,7.33,107,2017-10-10
TC416,R259,5.57,401,2017-10-16
TC417,R044,7.58,273,2018-12-13
TC418,R500,1.62,127,2024-12-03
TC419,R128,8.28,457,2021-08-05
